id,url,lang,title,description,canonical
7,/,pt-BR,LPV Turismo - Experiências guiadas no Rio,"Descubra o Rio com roteiros culturais e naturais, curadoria local e atendimento em português, espanhol ou inglês.",https://lpvturismo.com/
17,/passeios/,pt-BR,Passeios no Rio de Janeiro - LPV Turismo,"Compare experiências guiadas de cultura, natureza e paisagem e solicite uma proposta adequada ao seu grupo.",https://lpvturismo.com/passeios/
18,/outros-servicos/,pt-BR,Serviços turísticos no Rio - LPV Turismo,"Transfers, apoio local, experiências privadas e soluções personalizadas para sua viagem ao Rio de Janeiro.",https://lpvturismo.com/outros-servicos/
255,/lp-experiences/,pt-BR,L&P Experiences - Business trips e missões,"Jornadas profissionais para grupos, combinando objetivos de negócio, cultura, conexões e curadoria no destino.",https://lpvturismo.com/lp-experiences/
19,/quero-montar-meu-roteiro/,pt-BR,Solicite uma proposta - LPV Turismo,"Conte sobre sua viagem, grupo e interesses para solicitar uma proposta personalizada. O envio não confirma reserva.",https://lpvturismo.com/quero-montar-meu-roteiro/
84,/passeios/mosaicos-do-rio/,pt-BR,Mosaicos do Rio - Experiência urbana guiada,"Arte, arquitetura, fotografia e vida cotidiana em uma experiência urbana adaptável ao perfil do grupo.",https://lpvturismo.com/passeios/mosaicos-do-rio/
85,/passeios/imersao-floresta-da-tijuca/,pt-BR,Imersão na Floresta da Tijuca - LPV Turismo,"Natureza, paisagem e história ambiental em uma experiência guiada adaptada ao ritmo do grupo.",https://lpvturismo.com/passeios/imersao-floresta-da-tijuca/
86,/passeios/rio-essencial/,pt-BR,Rio Essencial - Passeio guiado no Rio,"Uma leitura guiada dos ícones, da paisagem e da história do Rio, com percurso definido antes da confirmação.",https://lpvturismo.com/passeios/rio-essencial/
20,/es/,es,LPV Turismo - Experiencias guiadas en Río,"Descubrí Río con recorridos culturales y naturales, curaduría local y atención en español, portugués o inglés.",https://lpvturismo.com/es/
237,/es/paseos/,es,Paseos en Río de Janeiro - LPV Turismo,"Compará experiencias guiadas de cultura, naturaleza y paisaje y solicitá una propuesta para tu grupo.",https://lpvturismo.com/es/paseos/
205,/es/servicios/,es,Servicios turísticos en Río - LPV Turismo,"Transfers, apoyo local, experiencias privadas y soluciones personalizadas para tu viaje a Río de Janeiro.",https://lpvturismo.com/es/servicios/
203,/es/quiero-armar-mi-itinerario/,es,Solicitá una propuesta - LPV Turismo,"Contanos sobre tu viaje, grupo e intereses para solicitar una propuesta. El envío no confirma una reserva.",https://lpvturismo.com/es/quiero-armar-mi-itinerario/
160,/es/mosaicos-del-rio/,es,Mosaicos de Río - Experiencia urbana guiada,"Arte, arquitectura, fotografía y vida cotidiana en una experiencia urbana adaptable al perfil del grupo.",https://lpvturismo.com/es/mosaicos-del-rio/
194,/es/inmersion-floresta-da-tijuca/,es,Inmersión en la Floresta da Tijuca - LPV,"Naturaleza, paisaje e historia ambiental en una experiencia guiada adaptada al ritmo del grupo.",https://lpvturismo.com/es/inmersion-floresta-da-tijuca/
195,/es/rio-esencial/,es,Río Esencial - Paseo guiado en Río,"Una lectura guiada de los íconos, el paisaje y la historia de Río, con recorrido definido antes de confirmar.",https://lpvturismo.com/es/rio-esencial/
21,/en/,en,LPV Turismo - Guided experiences in Rio,"Discover Rio through cultural and nature-focused itineraries with local curation in English, Portuguese or Spanish.",https://lpvturismo.com/en/
239,/en/tours/,en,Tours in Rio de Janeiro - LPV Turismo,"Compare guided culture, nature and landscape experiences and request a proposal suited to your group.",https://lpvturismo.com/en/tours/
217,/en/services/,en,Travel services in Rio - LPV Turismo,"Transfers, local support, private experiences and tailored solutions for your trip to Rio de Janeiro.",https://lpvturismo.com/en/services/
218,/en/plan-my-itinerary/,en,Request a proposal - LPV Turismo,"Tell us about your trip, group and interests to request a tailored proposal. Submission does not confirm a booking.",https://lpvturismo.com/en/plan-my-itinerary/
219,/en/mosaics-of-rio/,en,Mosaics of Rio - Guided urban experience,"Art, architecture, photography and everyday life in an urban experience adapted to your group's profile.",https://lpvturismo.com/en/mosaics-of-rio/
220,/en/tijuca-forest-immersion/,en,Tijuca Forest Immersion - LPV Turismo,"Nature, landscape and environmental history in a guided experience adapted to the group's pace.",https://lpvturismo.com/en/tijuca-forest-immersion/
221,/en/rio-essential/,en,Rio Essential - Guided tour in Rio,"A guided reading of Rio's landmarks, landscape and history, with the route agreed before confirmation.",https://lpvturismo.com/en/rio-essential/
